ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
305,Right,1955.3,1991.2,0.02,58.03,8
306,Right,1101.8,1179.4,0.01,57.99,8
307,Left,977.7,1068.0,0.01,57.98,8
308,Right,1757.5,1841.4,0.01,57.97,8
309,Left,1449.1,1527.2,0.00,57.96,8
310,Left,1213.1,1276.1,0.00,57.94,8
311,Right,1051.5,1103.6,0.02,57.92,8
312,Left,1147.5,1176.8,0.01,57.87,8
313,Right,1748.8,1810.4,0.00,57.85,8
314,Right,1367.9,1504.0,0.00,57.85,8
315,Left,992.3,1099.7,0.10,57.83,8
316,Left,1610.0,1710.7,0.01,57.82,8
317,Right,1349.7,1451.8,0.20,57.82,8
318,Right,1725.7,1811.0,0.00,59.62,9
319,Right,1467.7,1495.6,0.00,59.56,9
320,Left,1346.0,1355.2,0.00,59.55,9
321,Right,1492.4,1528.2,0.03,59.46,9
322,Left,1173.7,1321.0,0.00,59.39,9
323,Right,1582.7,1668.9,0.00,59.33,9
324,Right,1583.2,1677.3,0.00,59.33,9
325,Right,1384.6,1428.2,0.17,59.24,9
326,Left,1180.0,1324.1,0.00,59.24,9
327,Left,788.4,893.6,0.00,59.18,9
328,Left,1220.6,1347.2,0.00,59.17,9
329,Left,1850.1,1862.0,0.00,59.14,9
330,Right,1559.9,1627.8,0.00,59.13,9
331,Right,1698.6,1857.4,0.00,59.10,9
332,Left,1202.4,1330.4,0.00,59.04,9
333,Right,1625.9,1729.0,0.00,59.03,9
334,Left,1168.2,1178.9,0.03,59.01,9
335,Left,1960.2,1965.7,0.00,59.01,9
336,Right,1148.8,1201.1,0.00,59.00,9
337,Right,1554.4,1662.1,0.00,58.99,9
338,Right,1724.1,1843.9,0.00,58.98,9
339,Right,1380.8,1398.5,0.00,58.98,9
340,Right,1586.8,1656.9,0.00,58.98,9
341,Right,1690.8,1807.9,0.00,58.94,9
342,Left,1185.4,1209.3,0.00,58.94,9
343,Right,1561.6,1659.4,0.00,58.93,9
344,Right,1913.3,1949.3,0.00,58.92,9
345,Right,1493.2,1668.0,0.00,58.88,9
346,Right,1626.8,1717.0,0.00,58.87,9
347,Right,1263.0,1334.9,0.00,58.87,9
348,Left,1179.8,1292.6,0.00,58.82,9
349,Right,1801.9,1853.0,0.00,58.82,9
350,Right,1629.1,1642.1,0.00,58.82,9
351,Left,1553.8,1705.8,0.00,58.81,9
352,Left,1225.2,1316.9,0.00,58.75,9
353,Right,1946.2,1967.8,0.00,58.73,9
354,Left,1037.6,1077.0,0.00,58.73,9
355,Right,1249.7,1330.3,0.09,58.73,9
356,Right,1697.8,1792.6,0.00,58.72,9
357,Right,1129.6,1195.5,0.00,58.71,9
358,Left,1322.2,1388.9,0.00,58.68,9
359,Right,1866.2,1937.4,0.01,58.66,9
360,Left,1875.0,2057.4,0.00,58.64,9
361,Right,1803.1,1863.0,0.00,58.63,9
362,Right,1539.5,1633.9,0.00,58.62,9
363,Right,1153.1,1229.1,0.00,58.57,9
364,Left,1213.9,1271.7,0.00,58.56,9
365,Right,1710.9,1845.8,0.00,58.55,9
366,Right,986.6,1122.9,0.00,58.51,9
